occupation_code	occupation_name	display_level	selectable	sort_sequence
132031	Budget Analysts	3	T	70	
132041	Credit Analysts	3	T	71	
132050	Financial Analysts and Advisors	2	T	72	
132051	Financial Analysts	3	T	73	
132052	Personal Financial Advisors	3	T	74	
132053	Insurance Underwriters	3	T	75	
132061	Financial Examiners	3	T	76	
132070	Credit Counselors and Loan Officers	2	T	77	
132071	Credit Counselors	3	T	78	
132072	Loan Officers	3	T	79	
132080	Tax Examiners, Collectors and Preparers, and Revenue Agents	2	T	80	
132081	Tax Examiners and Collectors, and Revenue Agents	3	T	81	
132082	Tax Preparers	3	T	82	
132099	Financial Specialists, All Other	3	T	83	
150000	Computer and Mathematical Occupations	0	T	84	
151100	Computer Occupations	2	T	85	
151111	Computer and Information Research Scientists	3	T	86	
151120	Computer and Information Analysts	2	T	87	
151121	Computer Systems Analysts	3	T	88	
151122	Information Security Analysts	3	T	89	
151130	Software Developers and Programmers	2	T	90	
151131	Computer Programmers	3	T	91	
151132	Software Developers, Applications	3	T	92	
151133	Software Developers, Systems Software	3	T	93	
151134	Web Developers	3	T	94	
151140	Database and Systems Administrators and Network Architects	2	T	95	
151141	Database Administrators	3	T	96	
151142	Network and Computer Systems Administrators	3	T	97	
151143	Computer Network Architects	3	T	98	
151150	Computer Support Specialists	2	T	99	
151151	Computer User Support Specialists	3	T	100	
151152	Computer Network Support Specialists	3	T	101	
151199	Computer Occupations, All Other	3	T	102	
152000	Mathematical Science Occupations	1	T	103	
152011	Actuaries	3	T	104	
152021	Mathematicians	3	T	105	
152031	Operations Research Analysts	3	T	106	
152041	Statisticians	3	T	107	
152090	Miscellaneous Mathematical Science Occupations	2	T	108	
152091	Mathematical Technicians	3	T	109	
152099	Mathematical Science Occupations, All Other	3	T	110	
170000	Architecture and Engineering Occupations	0	T	111	
171000	Architects, Surveyors, and Cartographers	1	T	112	
171010	Architects, Except Naval	2	T	113	
171011	Architects, Except Landscape and Naval	3	T	114	
171012	Landscape Architects	3	T	115	
171020	Surveyors, Cartographers, and Photogrammetrists	2	T	116	
171021	Cartographers and Photogrammetrists	3	T	117	
171022	Surveyors	3	T	118	
172000	Engineers	1	T	119	
172011	Aerospace Engineers	3	T	120	
172021	Agricultural Engineers	3	T	121	
172031	Biomedical Engineers	3	T	122	
172041	Chemical Engineers	3	T	123	
172051	Civil Engineers	3	T	124	
172061	Computer Hardware Engineers	3	T	125	
172070	Electrical and Electronics Engineers	2	T	126	
172071	Electrical Engineers	3	T	127	
172072	Electronics Engineers, Except Computer	3	T	128	
172081	Environmental Engineers	3	T	129	
172110	Industrial Engineers, Including Health and Safety	2	T	130	
172111	Health and Safety Engineers, Except Mining Safety Engineers and Inspectors	3	T	131	
172112	Industrial Engineers	3	T	132	
172121	Marine Engineers and Naval Architects	3	T	133	
172131	Materials Engineers	3	T	134	
172141	Mechanical Engineers	3	T	135	
172151	Mining and Geological Engineers, Including Mining Safety Engineers	3	T	136	
172161	Nuclear Engineers	3	T	137	
172171	Petroleum Engineers	3	T	138	
172199	Engineers, All Other	3	T	139	
173000	Drafters, Engineering Technicians, and Mapping Technicians	1	T	140	
173010	Drafters	2	T	141	
173011	Architectural and Civil Drafters	3	T	142	
173012	Electrical and Electronics Drafters	3	T	143	
173013	Mechanical Drafters	3	T	144	
173019	Drafters, All Other	3	T	145	
173020	Engineering Technicians, Except Drafters	2	T	146	
173021	Aerospace Engineering and Operations Technicians	3	T	147	
173022	Civil Engineering Technicians	3	T	148	
173023	Electrical and Electronics Engineering Technicians	3	T	149	
173024	Electro-Mechanical Technicians	3	T	150	
173025	Environmental Engineering Technicians	3	T	151	
173026	Industrial Engineering Technicians	3	T	152	
173027	Mechanical Engineering Technicians	3	T	153	
173029	Engineering Technicians, Except Drafters, All Other	3	T	154	
173031	Surveying and Mapping Technicians	3	T	155	
190000	Life, Physical, and Social Science Occupations	0	T	156	
191000	Life Scientists	1	T	157	
191010	Agricultural and Food Scientists	2	T	158	
191011	Animal Scientists	3	T	159	
191012	Food Scientists and Technologists	3	T	160	
191013	Soil and Plant Scientists	3	T	161	
191020	Biological Scientists	2	T	162	
191021	Biochemists and Biophysicists	3	T	163	
191022	Microbiologists	3	T	164	
191023	Zoologists and Wildlife Biologists	3	T	165	
191029	Biological Scientists, All Other	3	T	166	
191030	Conservation Scientists and Foresters	2	T	167	
191031	Conservation Scientists	3	T	168	
191032	Foresters	3	T	169	
191040	Medical Scientists	2	T	170	
191041	Epidemiologists	3	T	171	
191042	Medical Scientists, Except Epidemiologists	3	T	172	
191099	Life Scientists, All Other	3	T	173	
192000	Physical Scientists	1	T	174	
192010	Astronomers and Physicists	2	T	175	
192011	Astronomers	3	T	176	
192012	Physicists	3	T	177	
192021	Atmospheric and Space Scientists	3	T	178	
192030	Chemists and Materials Scientists	2	T	179	
192031	Chemists	3	T	180	
192032	Materials Scientists	3	T	181	
192040	Environmental Scientists and Geoscientists	2	T	182	
192041	Environmental Scientists and Specialists, Including Health	3	T	183	
192042	Geoscientists, Except Hydrologists and Geographers	3	T	184	
192043	Hydrologists	3	T	185	
192099	Physical Scientists, All Other	3	T	186	
193000	Social Scientists and Related Workers	1	T	187	
193011	Economists	3	T	188	
193022	Survey Researchers	3	T	189	
193030	Psychologists	2	T	190	
193031	Clinical, Counseling, and School Psychologists	3	T	191	
193032	Industrial-Organizational Psychologists	3	T	192	
193039	Psychologists, All Other	3	T	193	
193041	Sociologists	3	T	194	
193051	Urban and Regional Planners	3	T	195	
193090	Miscellaneous Social Scientists and Related Workers	2	T	196	
193091	Anthropologists and Archeologists	3	T	197	
193092	Geographers	3	T	198	
193093	Historians	3	T	199	
193094	Political Scientists	3	T	200	
193099	Social Scientists and Related Workers, All Other	3	T	201	
194000	Life, Physical, and Social Science Technicians	1	T	202	
194011	Agricultural and Food Science Technicians	3	T	203	
194021	Biological Technicians	3	T	204	
194031	Chemical Technicians	3	T	205	
194041	Geological and Petroleum Technicians	3	T	206	
194051	Nuclear Technicians	3	T	207	
194061	Social Science Research Assistants	3	T	208	
194090	Miscellaneous Life, Physical, and Social Science Technicians	2	T	209	
194091	Environmental Science and Protection Technicians, Including Health	3	T	210	
194092	Forensic Science Technicians	3	T	211	
194093	Forest and Conservation Technicians	3	T	212	
194099	Life, Physical, and Social Science Technicians, All Other	3	T	213	
210000	Community and Social Service Occupations	0	T	214	
211000	Counselors, Social Workers, and Other Community and Social Service Specialists	1	T	215	
211010	Counselors	2	T	216	
211011	Substance Abuse and Behavioral Disorder Counselors	3	T	217	
211012	Educational, Guidance, School, and Vocational Counselors	3	T	218	
211013	Marriage and Family Therapists	3	T	219	
211014	Mental Health Counselors	3	T	220	
211015	Rehabilitation Counselors	3	T	221	
211019	Counselors, All Other	3	T	222	
211020	Social Workers	2	T	223	
211021	Child, Family, and School Social Workers	3	T	224	
211022	Healthcare Social Workers	3	T	225	
211023	Mental Health and Substance Abuse Social Workers	3	T	226	
211029	Social Workers, All Other	3	T	227	
211090	Miscellaneous Community and Social Service Specialists	2	T	228	
211091	Health Educators	3	T	229	
211092	Probation Officers and Correctional Treatment Specialists	3	T	230	
211093	Social and Human Service Assistants	3	T	231	
211094	Community Health Workers	3	T	232	
211099	Community and Social Service Specialists, All Other	3	T	233	
212000	Religious Workers	1	T	234	
212011	Clergy	3	T	235	
212021	Directors, Religious Activities and Education	3	T	236	
212099	Religious Workers, All Other	3	T	237	
230000	Legal Occupations	0	T	238	
231000	Lawyers, Judges, and Related Workers	1	T	239	
231010	Lawyers and Judicial Law Clerks	2	T	240	
231011	Lawyers	3	T	241	
231012	Judicial Law Clerks	3	T	242	
231020	Judges, Magistrates, and Other Judicial Workers	2	T	243	
231021	Administrative Law Judges, Adjudicators, and Hearing Officers	3	T	244	
231022	Arbitrators, Mediators, and Conciliators	3	T	245	
231023	Judges, Magistrate Judges, and Magistrates	3	T	246	
232000	Legal Support Workers	1	T	247	
232011	Paralegals and Legal Assistants	3	T	248	
232090	Miscellaneous Legal Support Workers	2	T	249	
232091	Court Reporters	3	T	250	
232093	Title Examiners, Abstractors, and Searchers	3	T	251	
232099	Legal Support Workers, All Other	3	T	252	
250000	Education, Training, and Library Occupations	0	T	253	
251000	Postsecondary Teachers	1	T	254	
251011	Business Teachers, Postsecondary	3	T	255	
251020	Math and Computer Teachers, Postsecondary	2	T	256	
251021	Computer Science Teachers, Postsecondary	3	T	257	
251022	Mathematical Science Teachers, Postsecondary	3	T	258	
251030	Engineering and Architecture Teachers, Postsecondary	2	T	259	
251031	Architecture Teachers, Postsecondary	3	T	260	
251032	Engineering Teachers, Postsecondary	3	T	261	
251040	Life Sciences Teachers, Postsecondary	2	T	262	
251041	Agricultural Sciences Teachers, Postsecondary	3	T	263	
251042	Biological Science Teachers, Postsecondary	3	T	264	
251043	Forestry and Conservation Science Teachers, Postsecondary	3	T	265	
251050	Physical Sciences Teachers, Postsecondary	2	T	266	
251051	Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary	3	T	267	
251052	Chemistry Teachers, Postsecondary	3	T	268	
251053	Environmental Science Teachers, Postsecondary	3	T	269	
251054	Physics Teachers, Postsecondary	3	T	270	
251060	Social Sciences Teachers, Postsecondary	2	T	271	
251061	Anthropology and Archeology Teachers, Postsecondary	3	T	272	
251062	Area, Ethnic, and Cultural Studies Teachers, Postsecondary	3	T	273	
251063	Economics Teachers, Postsecondary	3	T	274	
251064	Geography Teachers, Postsecondary	3	T	275	
251065	Political Science Teachers, Postsecondary	3	T	276	
251066	Psychology Teachers, Postsecondary	3	T	277	
251067	Sociology Teachers, Postsecondary	3	T	278	
251069	Social Sciences Teachers, Postsecondary, All Other	3	T	279	
251070	Health Teachers, Postsecondary	2	T	280	
251071	Health Specialties Teachers, Postsecondary	3	T	281	
251072	Nursing Instructors and Teachers, Postsecondary	3	T	282	
251080	Education and Library Science Teachers, Postsecondary	2	T	283	
251081	Education Teachers, Postsecondary	3	T	284	
251082	Library Science Teachers, Postsecondary	3	T	285	
251110	Law, Criminal Justice, and Social Work Teachers, Postsecondary	2	T	286	
251111	Criminal Justice and Law Enforcement Teachers, Postsecondary	3	T	287	
251112	Law Teachers, Postsecondary	3	T	288	
251113	Social Work Teachers, Postsecondary	3	T	289	
251120	Arts, Communications, and Humanities Teachers, Postsecondary	2	T	290	
251121	Art, Drama, and Music Teachers, Postsecondary	3	T	291	
251122	Communications Teachers, Postsecondary	3	T	292	
251123	English Language and Literature Teachers, Postsecondary	3	T	293	
251124	Foreign Language and Literature Teachers, Postsecondary	3	T	294	
251125	History Teachers, Postsecondary	3	T	295	
251126	Philosophy and Religion Teachers, Postsecondary	3	T	296	
251190	Miscellaneous Postsecondary Teachers	2	T	297	
251191	Graduate Teaching Assistants	3	T	298	
251192	Home Economics Teachers, Postsecondary	3	T	299	
251193	Recreation and Fitness Studies Teachers, Postsecondary	3	T	300	
251194	Vocational Education Teachers, Postsecondary	3	T	301	
251199	Postsecondary Teachers, All Other	3	T	302	
252000	Preschool, Primary, Secondary, and Special Education School Teachers	1	T	303	
252010	Preschool and Kindergarten Teachers	2	T	304	
252011	Preschool Teachers, Except Special Education	3	T	305	
252012	Kindergarten Teachers, Except Special Education	3	T	306	
252020	Elementary and Middle School Teachers	2	T	307	
252021	Elementary School Teachers, Except Special Education	3	T	308	
252022	Middle School Teachers, Except Special and Career/Technical Education	3	T	309	
252023	Career/Technical Education Teachers, Middle School	3	T	310	
252030	Secondary School Teachers	2	T	311	
252031	Secondary School Teachers, Except Special and Career/Technical Education	3	T	312	
252032	Career/Technical Education Teachers, Secondary School	3	T	313	
252050	Special Education Teachers	2	T	314	
252051	Special Education Teachers, Preschool	3	T	315	
252052	Special Education Teachers, Kindergarten and Elementary School	3	T	316	
252053	Special Education Teachers, Middle School	3	T	317	
252054	Special Education Teachers, Secondary School	3	T	318	
252059	Special Education Teachers, All Other	3	T	319	
253000	Other Teachers and Instructors	1	T	320	
253011	Adult Basic and Secondary Education and Literacy Teachers and Instructors	3	T	321	
253021	Self-Enrichment Education Teachers	3	T	322	
253090	Miscellaneous Teachers and Instructors	2	T	323	
253098	Substitute Teachers	3	T	324	
253099	Teachers and Instructors, All Other	3	T	325	
254000	Librarians, Curators, and Archivists	1	T	326	
254010	Archivists, Curators, and Museum Technicians	2	T	327	
254011	Archivists	3	T	328	
254012	Curators	3	T	329	
254013	Museum Technicians and Conservators	3	T	330	
254021	Librarians	3	T	331	
254031	Library Technicians	3	T	332	
259000	Other Education, Training, and Library Occupations	1	T	333	
259011	Audio-Visual and Multimedia Collections Specialists	3	T	334	
259021	Farm and Home Management Advisors	3	T	335	
259031	Instructional Coordinators	3	T	336	
259041	Teacher Assistants	3	T	337	
259099	Education, Training, and Library Workers, All Other	3	T	338	
270000	Arts, Design, Entertainment, Sports, and Media Occupations	0	T	339	
271000	Art and Design Workers	1	T	340	
271010	Artists and Related Workers	2	T	341	
271011	Art Directors	3	T	342	
271012	Craft Artists	3	T	343	
271013	Fine Artists, Including Painters, Sculptors, and Illustrators	3	T	344	
271014	Multimedia Artists and Animators	3	T	345	
271019	Artists and Related Workers, All Other	3	T	346	
271020	Designers	2	T	347	
271021	Commercial and Industrial Designers	3	T	348	
271022	Fashion Designers	3	T	349	
271023	Floral Designers	3	T	350	
271024	Graphic Designers	3	T	351	
271025	Interior Designers	3	T	352	
271026	Merchandise Displayers and Window Trimmers	3	T	353	
271027	Set and Exhibit Designers	3	T	354	
271029	Designers, All Other	3	T	355	
272000	Entertainers and Performers, Sports and Related Workers	1	T	356	
272010	Actors, Producers, and Directors	2	T	357	
272011	Actors	3	T	358	
272012	Producers and Directors	3	T	359	
272020	Athletes, Coaches, Umpires, and Related Workers	2	T	360	
272021	Athletes and Sports Competitors	3	T	361	
272022	Coaches and Scouts	3	T	362	
272023	Umpires, Referees, and Other Sports Officials	3	T	363	
272030	Dancers and Choreographers	2	T	364	
272031	Dancers	3	T	365	
272032	Choreographers	3	T	366	
272040	Musicians, Singers, and Related Workers	2	T	367	
272041	Music Directors and Composers	3	T	368	
272042	Musicians and Singers	3	T	369	
272099	Entertainers and Performers, Sports and Related Workers, All Other	3	T	370	
273000	Media and Communication Workers	1	T	371	
273010	Announcers	2	T	372	
273011	Radio and Television Announcers	3	T	373	
273012	Public Address System and Other Announcers	3	T	374	
273020	News Analysts, Reporters and Correspondents	2	T	375	
273021	Broadcast News Analysts	3	T	376	
273022	Reporters and Correspondents	3	T	377	
273031	Public Relations Specialists	3	T	378	
273040	Writers and Editors	2	T	379	
273041	Editors	3	T	380	
273042	Technical Writers	3	T	381	
273043	Writers and Authors	3	T	382	
273090	Miscellaneous Media and Communication Workers	2	T	383	
273091	Interpreters and Translators	3	T	384	
273099	Media and Communication Workers, All Other	3	T	385	
274000	Media and Communication Equipment Workers	1	T	386	
274010	Broadcast and Sound Engineering Technicians and Radio Operators	2	T	387	
274011	Audio and Video Equipment Technicians	3	T	388	
274012	Broadcast Technicians	3	T	389	
274013	Radio Operators	3	T	390	
274014	Sound Engineering Technicians	3	T	391	
274021	Photographers	3	T	392	
274030	Television, Video, and Motion Picture Camera Operators and Editors	2	T	393	
274031	Camera Operators, Television, Video, and Motion Picture	3	T	394	
274032	Film and Video Editors	3	T	395	
274099	Media and Communication Equipment Workers, All Other	3	T	396	
290000	Healthcare Practitioners and Technical Occupations	0	T	397	
291000	Health Diagnosing and Treating Practitioners	1	T	398	
291011	Chiropractors	3	T	399	
291020	Dentists	2	T	400	
291021	Dentists, General	3	T	401	
291022	Oral and Maxillofacial Surgeons	3	T	402	
291023	Orthodontists	3	T	403	
291024	Prosthodontists	3	T	404	
291029	Dentists, All Other Specialists	3	T	405	
291031	Dietitians and Nutritionists	3	T	406	
291041	Optometrists	3	T	407	
291051	Pharmacists	3	T	408	
291060	Physicians and Surgeons	2	T	409	
291061	Anesthesiologists	3	T	410	
291062	Family and General Practitioners	3	T	411	
291063	Internists, General	3	T	412	
291064	Obstetricians and Gynecologists	3	T	413	
291065	Pediatricians, General	3	T	414	
291066	Psychiatrists	3	T	415	
291067	Surgeons	3	T	416	
291069	Physicians and Surgeons, All Other	3	T	417	
291071	Physician Assistants	3	T	418	
291081	Podiatrists	3	T	419	
291120	Therapists	2	T	420	
291122	Occupational Therapists	3	T	421	
291123	Physical Therapists	3	T	422	
291124	Radiation Therapists	3	T	423	
291125	Recreational Therapists	3	T	424	
291126	Respiratory Therapists	3	T	425	
291127	Speech-Language Pathologists	3	T	426	
291128	Exercise Physiologists	3	T	427	
291129	Therapists, All Other	3	T	428	
291131	Veterinarians	3	T	429	
291141	Registered Nurses	3	T	430	
291151	Nurse Anesthetists	3	T	431	
291161	Nurse Midwives	3	T	432	
291171	Nurse Practitioners	3	T	433	
291181	Audiologists	3	T	434	
291199	Health Diagnosing and Treating Practitioners, All Other	3	T	435	
292000	Health Technologists and Technicians	1	T	436	
292010	Clinical Laboratory Technologists and Technicians	2	T	437	
292011	Medical and Clinical Laboratory Technologists	3	T	438	
292012	Medical and Clinical Laboratory Technicians	3	T	439	
292021	Dental Hygienists	3	T	440	
292030	Diagnostic Related Technologists and Technicians	2	T	441	
292031	Cardiovascular Technologists and Technicians	3	T	442	
292032	Diagnostic Medical Sonographers	3	T	443	
292033	Nuclear Medicine Technologists	3	T	444	
292034	Radiologic Technologists	3	T	445	
292035	Magnetic Resonance Imaging Technologists	3	T	446	
292041	Emergency Medical Technicians and Paramedics	3	T	447	
292050	Health Practitioner Support Technologists and Technicians	2	T	448	
292051	Dietetic Technicians	3	T	449	
292052	Pharmacy Technicians	3	T	450	
292053	Psychiatric Technicians	3	T	451	
292054	Respiratory Therapy Technicians	3	T	452	
292055	Surgical Technologists	3	T	453	
292056	Veterinary Technologists and Technicians	3	T	454	
292057	Ophthalmic Medical Technicians	3	T	455	
292061	Licensed Practical and Licensed Vocational Nurses	3	T	456	
292071	Medical Records and Health Information Technicians	3	T	457	
292081	Opticians, Dispensing	3	T	458	
292090	Miscellaneous Health Technologists and Technicians	2	T	459	
292091	Orthotists and Prosthetists	3	T	460	
292092	Hearing Aid Specialists	3	T	461	
292099	Health Technologists and Technicians, All Other	3	T	462	
299000	Other Healthcare Practitioners and Technical Occupations	1	T	463	
299010	Occupational Health and Safety Specialists and Technicians	2	T	464	
299011	Occupational Health and Safety Specialists	3	T	465	
299012	Occupational Health and Safety Technicians	3	T	466	
299090	Miscellaneous Health Practitioners and Technical Workers	2	T	467	
299091	Athletic Trainers	3	T	468	
299092	Genetic Counselors	3	T	469	
299099	Healthcare Practitioners and Technical Workers, All Other	3	T	470	
310000	Healthcare Support Occupations	0	T	471	
311010	Nursing, Psychiatric, and Home Health Aides	2	T	472	
311011	Home Health Aides	3	T	473	
311013	Psychiatric Aides	3	T	474	
311014	Nursing Assistants	3	T	475	
311015	Orderlies	3	T	476	
312000	Occupational Therapy and Physical Therapist Assistants and Aides	1	T	477	
312010	Occupational Therapy Assistants and Aides	2	T	478	
312011	Occupational Therapy Assistants	3	T	479	
312012	Occupational Therapy Aides	3	T	480	
312020	Physical Therapist Assistants and Aides	2	T	481	
312021	Physical Therapist Assistants	3	T	482	
312022	Physical Therapist Aides	3	T	483	
319000	Other Healthcare Support Occupations	1	T	484	
319011	Massage Therapists	3	T	485	
319090	Miscellaneous Healthcare Support Occupations	2	T	486	
319091	Dental Assistants	3	T	487	
319092	Medical Assistants	3	T	488	
319093	Medical Equipment Preparers	3	T	489	
319094	Medical Transcriptionists	3	T	490	
319095	Pharmacy Aides	3	T	491	
319096	Veterinary Assistants and Laboratory Animal Caretakers	3	T	492	
319097	Phlebotomists	3	T	493	
319099	Healthcare Support Workers, All Other	3	T	494	
330000	Protective Service Occupations	0	T	495	
331000	Supervisors of Protective Service Workers	1	T	496	
331010	First-Line Supervisors of Law Enforcement Workers	2	T	497	
331011	First-Line Supervisors of Correctional Officers	3	T	498	
331012	First-Line Supervisors of Police and Detectives	3	T	499	
331021	First-Line Supervisors of Fire Fighting and Prevention Workers	3	T	500	
331099	First-Line Supervisors of Protective Service Workers, All Other	3	T	501	
332000	Fire Fighting and Prevention Workers	1	T	502	
332011	Firefighters	3	T	503	
332020	Fire Inspectors	2	T	504	
332021	Fire Inspectors and Investigators	3	T	505	
332022	Forest Fire Inspectors and Prevention Specialists	3	T	506	
333000	Law Enforcement Workers	1	T	507	
333010	Bailiffs, Correctional Officers, and Jailers	2	T	508	
333011	Bailiffs	3	T	509	
333012	Correctional Officers and Jailers	3	T	510	
333021	Detectives and Criminal Investigators	3	T	511	
333031	Fish and Game Wardens	3	T	512	
333041	Parking Enforcement Workers	3	T	513	
333050	Police Officers	2	T	514	
333051	Police and Sheriff's Patrol Officers	3	T	515	
333052	Transit and Railroad Police	3	T	516	
339000	Other Protective Service Workers	1	T	517	
339011	Animal Control Workers	3	T	518	
339021	Private Detectives and Investigators	3	T	519	
339030	Security Guards and Gaming Surveillance Officers	2	T	520	
339031	Gaming Surveillance Officers and Gaming Investigators	3	T	521	
339032	Security Guards	3	T	522	
339090	Miscellaneous Protective Service Workers	2	T	523	
339091	Crossing Guards	3	T	524	
339092	Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers	3	T	525	
339093	Transportation Security Screeners	3	T	526	
339099	Protective Service Workers, All Other	3	T	527	
350000	Food Preparation and Serving Related Occupations	0	T	528	
351010	Supervisors of Food Preparation and Serving Workers	2	T	529	
351011	Chefs and Head Cooks	3	T	530	
351012	First-Line Supervisors of Food Preparation and Serving Workers	3	T	531	
352000	Cooks and Food Preparation Workers	1	T	532	
352010	Cooks	2	T	533	
352011	Cooks, Fast Food	3	T	534	
352012	Cooks, Institution and Cafeteria	3	T	535	
352013	Cooks, Private Household	3	T	536	
352014	Cooks, Restaurant	3	T	537	
352015	Cooks, Short Order	3	T	538	
352019	Cooks, All Other	3	T	539	
352021	Food Preparation Workers	3	T	540	
353000	Food and Beverage Serving Workers	1	T	541	
353011	Bartenders	3	T	542	
353020	Fast Food and Counter Workers	2	T	543	
353021	Combined Food Preparation and Serving Workers, Including Fast Food	3	T	544	
353022	Counter Attendants, Cafeteria, Food Concession, and Coffee Shop	3	T	545	
353031	Waiters and Waitresses	3	T	546	
353041	Food Servers, Nonrestaurant	3	T	547	
359000	Other Food Preparation and Serving Related Workers	1	T	548	
359011	Dining Room and Cafeteria Attendants and Bartender Helpers	3	T	549	
359021	Dishwashers	3	T	550	
359031	Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop	3	T	551	
359099	Food Preparation and Serving Related Workers, All Other	3	T	552	
370000	Building and Grounds Cleaning and Maintenance Occupations	0	T	553	
371010	First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers	2	T	554	
371011	First-Line Supervisors of Housekeeping and Janitorial Workers	3	T	555	
371012	First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers	3	T	556	
372000	Building Cleaning and Pest Control Workers	1	T	557	
372010	Building Cleaning Workers	2	T	558	
372011	Janitors and Cleaners, Except Maids and Housekeeping Cleaners	3	T	559	
372012	Maids and Housekeeping Cleaners	3	T	560	
372019	Building Cleaning Workers, All Other	3	T	561	
372021	Pest Control Workers	3	T	562	
373010	Grounds Maintenance Workers	2	T	563	
373011	Landscaping and Groundskeeping Workers	3	T	564	
373012	Pesticide Handlers, Sprayers, and Applicators, Vegetation	3	T	565	
373013	Tree Trimmers and Pruners	3	T	566	
373019	Grounds Maintenance Workers, All Other	3	T	567	
390000	Personal Care and Service Occupations	0	T	568	
391000	Supervisors of Personal Care and Service Workers	1	T	569	
391010	First-Line Supervisors of Gaming Workers	2	T	570	
391011	Gaming Supervisors	3	T	571	
391012	Slot Supervisors	3	T	572	
391021	First-Line Supervisors of Personal Service Workers	3	T	573	
392000	Animal Care and Service Workers	1	T	574	
392011	Animal Trainers	3	T	575	
392021	Nonfarm Animal Caretakers	3	T	576	
393000	Entertainment Attendants and Related Workers	1	T	577	
393010	Gaming Services Workers	2	T	578	
393011	Gaming Dealers	3	T	579	
393012	Gaming and Sports Book Writers and Runners	3	T	580	
393019	Gaming Service Workers, All Other	3	T	581	
393021	Motion Picture Projectionists	3	T	582	
393031	Ushers, Lobby Attendants, and Ticket Takers	3	T	583	
393090	Miscellaneous Entertainment Attendants and Related Workers	2	T	584	
393091	Amusement and Recreation Attendants	3	T	585	
393092	Costume Attendants	3	T	586	
393093	Locker Room, Coatroom, and Dressing Room Attendants	3	T	587	
393099	Entertainment Attendants and Related Workers, All Other	3	T	588	
394000	Funeral Service Workers	1	T	589	
394011	Embalmers	3	T	590	
394021	Funeral Attendants	3	T	591	
394031	Morticians, Undertakers, and Funeral Directors	3	T	592	
